Team_Name,Tries_Scored,Conversions,Conversion_Attempts,Conversion_Percentage,Penalty_Goals,Penalty_Attempts,Penalty_Percentage,Kick_at_Goal_Success,Drop_Goals,Drop_Goal_Attempts,Kicks_from_Hand,Passes,Runs,Metres_Run,Possession(%),Clean_Breaks,Defenders_Beaten,Offloads,Rucks_Won,Total_Rucks,%Rucks_Won,Mauls_Won,Total_Mauls,%Mauls_Won,Turnovers_Conceded,Tackles_Made,Tackles_Missed,Tackling_Success_Rate,Own_Scrum_Won,Own_Scrum_Lost,Opp_Scrum_Won,Opp_Scrum_Lost,%Scrums_on_own_feed,Own_Lineout_Won,Own_Lineout_Lost,Opp_Lineout_Won,Opp_Lineout_Lost,%Lineouts_on_own_feed,Penalties_Conceeded,Yellow_Cards,Red_Cards,Referee,Playing_Location,Result,Outcome,Tot_Own_Scrums,Penalties_Won
0,8,5,8,62.5,1,1,100,0.67,0,0,32,131,115,500,0.52,12,17,19,67,71,0.944,8,8,1,17,104,16,0.87,3,2,3,5,1,13,2,3,5,0.867,10,0,0,0,1,53,1,5,9
1,0,0,0,0,2,4,50,0.5,0,0,18,122,98,279,0.48,1,16,13,68,73,0.932,2,2,1,14,96,17,0.85,5,3,2,3,1,5,3,2,13,0.625,9,1,0,0,0,6,0,8,10
2,2,2,2,100,2,2,100,1,0,0,34,144,117,403,0.5,5,14,10,76,80,0.95,0,0,0,14,69,15,0.82,3,3,3,5,0,9,1,3,13,0.9,12,0,0,1,1,20,0,6,7
3,2,2,2,100,5,5,100,1,0,1,33,105,76,325,0.5,5,15,4,43,45,0.956,0,0,0,15,135,14,0.91,5,3,3,3,0,13,3,1,9,0.812,7,1,0,1,0,29,1,8,12
4,4,4,4,100,2,4,50,0.75,0,0,35,97,88,362,0.45,4,7,6,63,67,0.94,4,4,1,9,130,23,0.85,8,1,0,3,1,11,2,1,13,0.846,8,1,0,2,1,34,1,9,8
5,3,2,3,66.66666667,3,3,100,0.83,0,0,33,123,121,424,0.55,10,23,10,90,94,0.957,3,4,0,13,95,7,0.93,3,0,1,8,0,13,1,2,11,0.929,8,0,0,2,0,28,0,3,8
6,4,2,4,50,4,4,100,0.75,0,0,28,100,83,426,0.67,5,9,8,49,52,0.942,0,0,0,10,118,24,0.83,10,1,3,3,0,11,1,4,13,0.917,10,0,0,3,1,36,1,11,13
7,2,2,2,100,1,1,100,1,0,0,17,168,136,558,0.33,12,24,12,71,76,0.934,0,0,0,17,85,9,0.9,3,3,1,10,0,13,4,1,11,0.765,13,0,0,3,0,17,0,6,10
8,0,0,0,0,5,6,83.33333333,0.83,0,0,14,159,128,361,0.58,2,13,19,98,99,0.99,4,4,1,13,94,5,0.95,5,1,2,5,1,12,1,0,10,0.923,13,1,0,4,1,15,0,6,17
9,2,2,2,100,2,6,33.33333333,0.5,0,0,21,115,90,305,0.42,2,5,10,58,61,0.951,8,12,0,9,134,13,0.91,5,2,1,5,0,10,0,1,12,1,17,2,0,4,0,20,1,7,13
10,0,0,0,0,0,2,0,0,0,0,31,157,97,283,0.55,1,16,11,78,80,0.975,3,4,0,13,64,22,0.74,7,1,2,1,0,13,6,2,10,0.684,6,1,0,5,1,0,0,8,14
11,7,7,7,100,1,1,100,1,0,0,23,134,103,766,0.45,14,22,18,55,60,0.917,3,4,0,13,109,16,0.87,1,2,1,7,0,10,2,6,13,0.833,14,1,0,5,0,52,1,3,6
9,0,0,0,0,0,2,0,0,0,0,13,129,109,268,0.65,3,22,10,75,81,0.926,9,10,0,20,53,5,0.91,5,2,2,4,0,20,2,2,9,0.909,12,1,0,0,1,0,0,7,14
4,3,3,3,100,6,6,100,1,0,0,26,55,56,201,0.35,7,5,3,38,41,0.927,3,4,0,11,123,22,0.85,4,2,2,5,0,9,2,2,20,0.818,14,2,0,0,0,39,1,6,12
3,7,6,7,85.71428571,2,2,100,0.89,0,0,18,186,146,652,0.64,14,24,14,84,90,0.933,0,0,0,15,90,18,0.83,2,0,5,5,0,12,1,6,10,0.923,11,0,0,6,1,53,1,2,11
10,4,3,4,75,0,1,0,0.6,0,0,13,121,96,387,0.36,11,18,14,53,55,0.964,0,0,0,10,133,24,0.85,5,5,0,2,0,10,6,1,12,0.625,11,0,0,6,0,26,0,10,11
1,3,2,3,66.66666667,5,6,83.33333333,0.78,0,0,27,121,94,382,0.43,3,18,9,64,70,0.914,0,0,0,13,108,16,0.87,7,1,2,2,0,9,3,8,9,0.75,10,0,0,4,1,34,1,8,11
2,4,2,4,50,1,1,100,0.6,0,0,22,108,88,405,0.57,7,16,7,61,65,0.938,0,0,0,15,117,18,0.87,2,2,1,7,0,9,8,3,9,0.529,11,0,0,4,0,27,0,4,10
11,2,2,2,100,2,2,100,1,0,0,26,82,84,300,0.49,5,25,7,45,50,0.9,6,8,0,13,78,11,0.88,6,0,2,8,0,18,5,0,10,0.783,9,1,0,1,1,20,0,6,9
6,2,1,2,50,4,4,100,0.83,0,0,35,98,90,270,0.51,8,11,9,54,56,0.964,8,8,1,10,82,25,0.77,8,2,0,6,1,10,0,5,18,1,9,1,0,1,0,24,1,10,9
5,2,2,2,100,2,3,66.66666667,0.8,0,1,25,98,76,228,0.43,3,11,5,57,61,0.934,4,5,0,11,111,14,0.89,5,1,1,5,0,12,3,1,17,0.8,17,1,0,3,1,20,1,6,10
0,1,1,1,100,3,4,75,0.8,0,0,27,131,110,338,0.57,3,14,10,78,82,0.951,12,1,0,11,71,11,0.87,5,1,1,5,0,17,1,3,12,0.944,10,1,0,3,0,16,0,6,17
7,3,0,3,0,1,4,25,0.14,0,0,21,205,132,447,0.6,8,16,13,96,10,0.941,0,0,0,10,103,15,0.87,5,2,2,3,0,13,1,0,12,0.929,12,0,0,2,1,18,0,7,14
8,2,2,2,100,2,3,66.66666667,0.8,0,0,18,130,105,348,0.4,9,15,15,65,71,0.915,0,0,0,12,133,16,0.89,3,2,2,5,0,12,0,1,13,1,14,1,0,2,0,20,1,5,12
1,3,2,3,66.66666667,1,2,50,0.6,0,0,31,137,138,385,0.59,6,27,12,97,97,1,7,7,1,18,97,18,0.84,7,1,0,7,1,15,1,0,7,0.938,9,1,0,6,1,22,0,8,7
11,1,1,1,100,6,8,75,0.78,0,0,35,119,119,468,0.41,7,18,9,72,73,0.986,2,2,1,18,140,27,0.84,7,0,1,7,1,7,0,1,15,1,7,1,0,6,0,25,1,7,9
2,6,5,6,83.33333333,2,2,100,0.88,0,0,21,170,124,583,0.86,16,27,10,83,86,0.965,0,0,0,15,62,9,0.87,7,0,0,9,0,13,5,3,10,0.722,11,0,0,2,1,46,1,7,11
