Unnamed:_0,Team_Name,Tries_Scored,Conversions,Conversion_Attempts,Conversion_Percentage,Penalty_Goals,Penalty_Attempts,Penalty_Percentage,Kick_at_Goal_Success,Drop_Goals,Drop_Goal_Attempts,Kicks_from_Hand,Passes,Runs,Metres_Run,Possession(%),Clean_Breaks,Defenders_Beaten,Offloads,Rucks_Won,Total_Rucks,%Rucks_Won,Mauls_Won,Total_Mauls,%Mauls_Won,Turnovers_Conceded,Tackles_Made,Tackles_Missed,Tackling_Success_Rate,Own_Scrum_Won,Own_Scrum_Lost,Opp_Scrum_Won,Opp_Scrum_Lost,%Scrums_on_own_feed,Own_Lineout_Won,Own_Lineout_Lost,Opp_Lineout_Won,Opp_Lineout_Lost,%Lineouts_on_own_feed,Penalties_Conceeded,Yellow_Cards,Red_Cards,Referee,Playing_Location,Result,Outcome,Tot_Own_Scrums,Penalties_Won
0,0,8.0,5.0,8.0,62.5,1.0,1.0,100.0,0.67,0.0,0.0,32.0,131.0,115.0,500.0,0.52,12.0,17.0,19.0,67.0,71.0,0.944,8.0,8.0,1,17.0,104,16,0.87,3.0,2.0,3.0,5.0,0.6,13.0,2.0,3.0,5.0,0.867,10,0,0,0,1,53,1.0,5.0,9
1,1,0.0,0.0,0.0,0.0,2.0,4.0,50.0,0.5,0.0,0.0,18.0,122.0,98.0,279.0,0.48,1.0,16.0,13.0,68.0,73.0,0.932,2.0,2.0,1,14.0,96,17,0.85,5.0,3.0,2.0,3.0,0.625,5.0,3.0,2.0,13.0,0.625,9,1,0,0,0,6,0.0,8.0,10
2,2,2.0,2.0,2.0,100.0,2.0,2.0,100.0,1.0,0.0,0.0,34.0,144.0,117.0,403.0,0.5,5.0,14.0,10.0,76.0,80.0,0.95,0.0,0.0,0,14.0,69,15,0.82,3.0,3.0,3.0,5.0,0.5,9.0,1.0,3.0,13.0,0.9,12,0,0,1,1,20,0.0,6.0,7
3,3,2.0,2.0,2.0,100.0,5.0,5.0,100.0,1.0,0.0,1.0,33.0,105.0,76.0,325.0,0.5,5.0,15.0,4.0,43.0,45.0,0.956,0.0,0.0,0,15.0,135,14,0.91,5.0,3.0,3.0,3.0,0.625,13.0,3.0,1.0,9.0,0.812,7,1,0,1,0,29,1.0,8.0,12
4,4,4.0,4.0,4.0,100.0,2.0,4.0,50.0,0.75,0.0,0.0,35.0,97.0,88.0,362.0,0.45,4.0,7.0,6.0,63.0,67.0,0.94,4.0,4.0,1,9.0,130,23,0.85,8.0,1.0,0.0,3.0,0.889,11.0,2.0,1.0,13.0,0.846,8,1,0,2,1,34,1.0,9.0,8
5,5,3.0,2.0,3.0,66.66666666666666,3.0,3.0,100.0,0.83,0.0,0.0,33.0,123.0,121.0,424.0,0.55,10.0,23.0,10.0,90.0,94.0,0.957,3.0,4.0,0,13.0,95,7,0.93,3.0,0.0,1.0,8.0,1.0,13.0,1.0,2.0,11.0,0.929,8,0,0,2,0,28,0.0,3.0,8
6,6,4.0,2.0,4.0,50.0,4.0,4.0,100.0,0.75,0.0,0.0,28.0,100.0,83.0,426.0,0.67,5.0,9.0,8.0,49.0,52.0,0.942,0.0,0.0,0,10.0,118,24,0.83,10.0,1.0,3.0,3.0,0.909,11.0,1.0,4.0,13.0,0.917,10,0,0,3,1,36,1.0,11.0,13
7,7,2.0,2.0,2.0,100.0,1.0,1.0,100.0,1.0,0.0,0.0,17.0,168.0,136.0,558.0,0.33,12.0,24.0,12.0,71.0,76.0,0.934,0.0,0.0,0,17.0,85,9,0.9,3.0,3.0,1.0,10.0,0.5,13.0,4.0,1.0,11.0,0.765,13,0,0,3,0,17,0.0,6.0,10
8,8,0.0,0.0,0.0,0.0,5.0,6.0,83.33333333333334,0.83,0.0,0.0,14.0,159.0,128.0,361.0,0.58,2.0,13.0,19.0,98.0,99.0,0.99,4.0,4.0,1,13.0,94,5,0.95,5.0,1.0,2.0,5.0,0.833,12.0,1.0,0.0,10.0,0.923,13,1,0,4,1,15,0.0,6.0,17
9,9,2.0,2.0,2.0,100.0,2.0,6.0,33.33333333333333,0.5,0.0,0.0,21.0,115.0,90.0,305.0,0.42,2.0,5.0,10.0,58.0,61.0,0.951,8.0,12.0,0,9.0,134,13,0.91,5.0,2.0,1.0,5.0,0.7140000000000001,10.0,0.0,1.0,12.0,1.0,17,2,0,4,0,20,1.0,7.0,13
