Team_Name,Tries_Scored,Conversions,Conversion_Attempts,Conversion_Percentage,Penalty_Goals,Penalty_Attempts,Penalty_Percentage,Kick_at_Goal_Success,Drop_Goals,Drop_Goal_Attempts,Kicks_from_Hand,Passes,Runs,Metres_Run,Possession(%),Clean_Breaks,Defenders_Beaten,Offloads,Rucks_Won,Total_Rucks,Percent_Rucks_Won,Mauls_Won,Total_Mauls,Percent_Mauls_Won,Turnovers_Conceded,Tackles_Made,Tackles_Missed,Tackling_Success_Rate,Own_Scrum_Won,Own_Scrum_Lost,Opp_Scrum_Won,Opp_Scrum_Lost,Percent_Scrums_on_own_feed,Own_Lineout_Won,Own_Lineout_Lost,Opp_Lineout_Won,Opp_Lineout_Lost,Percent_Lineouts_on_own_feed,Penalties_Conceeded,Yellow_Cards,Red_Cards,Referee,Playing_Location,Result,Outcome,Tot_Own_Scrums,Penalties_Won
0,2,0,2,0,2,4,50,0.33,0,0,28,139,103,382,0.67,6,17,8,68,73,0.932,0,0,0,12,62,22,0.74,12,0,1,5,1,14,2,0,11,0.875,13,1,0,0,1,16,1,12,10
1,1,0,1,0,2,4,50,0.4,0,0,26,99,88,441,0.33,3,22,15,44,49,0.898,0,0,0,22,112,17,0.87,5,1,0,12,0.833,11,0,2,14,1,10,2,0,0,0,11,0,6,13
2,3,2,3,66.66666667,1,3,33.33333333,0.5,0,0,7,206,159,569,0.6,8,31,15,11,1,0.959,2,2,1,17,107,13,0.89,6,1,3,9,0.857,7,2,1,7,0.778,7,0,0,0,1,22,1,7,7
3,2,2,2,100,2,3,66.66666667,0.8,0,0,20,149,92,308,0.4,2,13,6,78,78,1,2,2,1,12,178,31,0.85,9,3,1,6,0.75,7,1,2,7,0.875,7,0,0,0,0,20,0,12,7
4,2,0,2,0,1,2,50,0.25,0,0,22,143,115,313,0.67,4,9,7,87,92,0.946,0,0,0,13,110,15,0.88,7,3,2,4,0.7,13,0,0,8,1,7,0,0,0,1,13,0,10,11
5,1,0,1,0,3,5,60,0.5,0,0,16,136,108,320,0.33,8,15,13,78,81,0.963,0,0,0,13,135,9,0.94,4,2,3,7,0.667,8,0,0,13,1,11,3,0,0,0,14,1,6,7
6,5,5,5,100,3,3,100,1,0,0,20,170,137,499,0.56,9,16,19,87,90,0.967,6,7,0,15,97,13,0.88,6,1,1,4,0.857,12,1,1,11,0.923,7,0,0,0,1,44,1,7,12
7,1,1,1,100,2,2,100,1,0,0,23,120,100,361,0.44,4,13,10,72,76,0.947,2,3,0,10,117,16,0.88,4,1,1,6,0.8,11,1,1,12,0.917,12,2,0,0,0,13,0,5,7
8,4,3,4,75,2,2,100,0.83,0,0,20,148,95,436,0.41,11,26,9,64,68,0.941,1,2,0,16,160,35,0.82,5,0,1,4,1,11,3,1,8,0.786,10,1,1,0,1,32,3,5,11
9,4,3,4,75,2,2,100,0.83,0,0,17,178,128,398,0.59,13,35,8,10,1,0.964,3,4,0,13,105,26,0.8,4,1,0,5,0.8,8,1,3,11,0.889,11,1,0,0,0,32,3,5,10
10,3,1,3,33.33333333,3,4,75,0.57,0,0,17,86,86,345,0.55,7,10,4,55,58,0.948,9,9,1,17,79,12,0.87,11,0,0,5,1,12,3,1,7,0.8,5,0,0,0,1,26,0,11,14
11,5,5,5,100,2,3,66.66666667,0.88,0,0,14,129,87,494,0.45,8,12,7,54,57,0.947,2,3,0,17,84,10,0.89,5,0,0,11,1,7,1,3,12,0.875,14,2,0,0,0,41,1,5,5
7,1,1,1,100,1,3,33.33333333,0.5,0,0,16,107,92,249,0.33,3,11,4,73,78,0.936,0,0,0,16,68,10,0.87,6,1,1,9,0.857,18,2,0,7,0.9,8,0,0,0,1,10,0,7,9
4,2,1,2,50,3,3,100,0.8,0,0,28,96,75,283,0.67,4,10,3,52,53,0.981,0,0,0,14,83,11,0.88,9,1,1,6,0.9,7,0,2,18,1,9,0,0,0,0,21,1,10,8
11,0,0,0,0,4,6,66.66666667,0.67,0,0,19,125,103,344,0.5,4,14,9,72,81,0.889,5,6,0,16,115,16,0.88,5,0,2,5,1,14,0,0,12,1,12,0,0,0,1,12,0,5,15
2,3,3,3,100,4,4,100,1,0,0,23,118,111,489,0.5,9,16,12,75,80,0.938,4,4,1,15,101,14,0.88,5,2,0,5,0.714,12,0,0,14,1,15,1,0,0,0,33,1,7,12
5,1,1,1,100,2,3,66.66666667,0.75,0,0,24,118,105,290,0.5,3,7,12,75,78,0.962,0,0,0,12,112,10,0.92,3,7,3,2,0.3,5,2,1,13,0.714,12,1,0,0,1,13,0,10,6
0,1,0,1,0,3,5,60,0.5,0,0,22,180,106,376,0.5,0,10,5,80,80,1,0,0,0,16,95,7,0.93,2,3,7,3,0.4,13,1,2,5,0.929,6,1,0,0,0,14,1,5,12
3,6,6,6,100,0,0,0,1,0,0,22,154,133,670,0.56,16,27,13,81,86,0.942,8,9,0,17,90,14,0.87,6,1,2,6,0.857,12,3,1,10,0.8,8,1,0,0,1,42,1,7,10
8,2,1,2,50,0,1,0,0.33,0,0,19,120,90,263,0.44,3,14,8,58,65,0.892,2,5,0,14,133,27,0.83,6,2,1,6,0.75,10,1,3,12,0.909,10,1,0,0,0,12,0,8,8
1,0,0,0,0,5,5,100,1,0,1,29,123,132,372,0.55,3,13,17,94,96,0.979,2,2,1,21,100,20,0.83,5,2,1,9,0.714,14,2,3,9,0.875,5,1,0,0,1,15,0,7,12
6,2,2,2,100,1,1,100,1,0,2,30,112,91,476,0.45,10,20,5,66,72,0.917,5,5,1,14,138,13,0.91,9,1,2,5,0.9,9,3,2,14,0.75,12,2,0,0,0,17,1,10,5
9,5,4,5,80,0,1,0,0.67,0,0,28,222,151,493,0.83,12,24,6,11,1,0.966,0,0,0,23,70,6,0.92,8,1,2,6,0.889,14,4,4,6,0.778,7,1,0,0,1,33,1,9,10
10,1,1,1,100,2,3,66.66666667,0.75,0,0,31,82,74,222,0.17,1,6,2,59,63,0.937,0,0,0,13,146,24,0.86,6,2,1,8,0.75,6,4,4,14,0.6,10,0,0,0,0,13,0,8,7
11,0,0,0,0,3,4,75,0.75,0,0,19,181,145,420,0.54,9,17,13,10,1,0.962,3,3,1,16,98,17,0.85,4,0,0,8,1,7,3,0,15,0.7,12,0,0,0,1,9,0,4,10
9,2,2,2,100,4,5,80,0.86,0,0,24,124,102,368,0.46,8,17,4,68,71,0.958,9,10,0,13,145,17,0.9,8,0,0,4,1,15,0,3,7,1,10,0,0,0,0,26,1,8,12
