Team_Name,Tries_Scored,Conversions,Conversion_Attempts,Conversion_Percentage,Penalty_Goals,Penalty_Attempts,Penalty_Percentage,Kick_at_Goal_Success,Drop_Goals,Drop_Goal_Attempts,Kicks_from_Hand,Passes,Runs,Metres_Run,Possession(%),Clean_Breaks,Defenders_Beaten,Offloads,Rucks_Won,Total_Rucks,%Rucks_Won,Mauls_Won,Total_Mauls,%Mauls_Won,Turnovers_Conceded,Tackles_Made,Tackles_Missed,Tackling_Success_Rate,Own_Scrum_Won,Own_Scrum_Lost,Opp_Scrum_Won,Opp_Scrum_Lost,%Scrums_on_own_feed,Own_Lineout_Won,Own_Lineout_Lost,Opp_Lineout_Won,Opp_Lineout_Lost,%Lineouts_on_own_feed,Penalties_Conceeded,Yellow_Cards,Red_Cards,Referee,Playing_Location,Result,Outcome,Tot_Own_Scrums,Penalties_Won
0,0,0,0,0,5,5,100,1,0,0,22,107,103,296,0,2,8,7,78,81,0.963,0,0,0,14,94,15,0.86,3,0,1,11,0,11,1,2,7,0.917,13,1,0,0,1,15,0,3,13
1,2,2,2,100,5,7,71.42857143,0.78,0,0,26,125,106,448,1,7,15,16,70,71,0.986,0,0,0,9,102,8,0.93,11,1,0,3,0,7,2,1,11,0.778,13,0,0,0,0,29,1,12,13
2,0,0,0,0,6,8,75,0.75,0,0,18,108,104,459,0,6,24,13,59,67,0.881,0,0,0,23,82,12,0.87,10,3,1,5,0,13,2,2,9,0.867,12,0,0,0,1,18,1,13,15
3,0,0,0,0,3,4,75,0.75,0,1,27,119,89,367,0,3,12,6,65,68,0.956,0,0,0,21,96,24,0.8,5,1,3,10,0,9,2,2,13,0.818,15,1,0,0,0,9,0,6,12
4,4,4,4,100,3,4,75,0.88,0,0,25,132,110,404,1,9,19,7,83,87,0.954,0,0,0,11,88,15,0.85,8,0,1,5,0,7,0,2,11,1,13,1,0,0,1,37,1,8,10
5,0,0,0,0,5,6,83.33333333,0.83,0,0,16,105,92,409,0,10,15,10,61,63,0.968,0,0,0,14,113,19,0.86,5,1,0,8,0,11,2,0,7,0.846,10,2,0,0,0,15,0,6,13
6,1,1,1,100,5,7,71.42857143,0.75,0,0,16,125,111,414,0.25,4,12,16,68,74,0.919,0,0,0,19,85,7,0.92,7,1,3,11,0,7,2,2,7,0.778,9,1,0,0,1,22,0,8,12
7,3,2,3,66.66666667,2,4,50,0.57,0,0,19,113,98,364,0.75,6,7,16,57,58,0.983,0,0,0,10,95,12,0.89,11,3,1,7,0,7,2,2,7,0.778,12,0,0,0,0,25,1,14,9
8,3,3,3,100,3,4,75,0.86,0,0,32,175,116,520,0.6,5,20,16,84,85,0.988,0,0,0,8,71,19,0.79,3,0,0,5,0,17,1,2,15,0.944,12,0,0,0,1,30,1,3,7
9,2,2,2,100,4,6,66.66666667,0.75,0,0,28,109,90,438,0.4,11,19,9,50,52,0.962,0,0,0,16,100,20,0.83,5,0,0,3,0,15,2,1,17,0.882,7,0,0,0,0,26,0,5,12
10,1,1,1,100,3,7,42.85714286,0.5,0,1,25,123,128,497,0.5,10,31,13,91,92,0.989,0,0,0,16,82,18,0.82,2,0,0,7,0,10,5,2,9,0.667,6,0,1,0,1,16,0,2,12
11,1,1,1,100,3,3,100,1,1,0,30,93,89,284,0.5,2,18,6,57,60,0.95,0,0,0,10,123,31,0.8,7,0,0,2,0,9,2,5,10,0.818,12,1,0,0,0,19,1,7,6
12,1,0,1,0,5,7,71.42857143,0.62,0,0,18,114,105,366,0.5,9,20,19,66,68,0.971,0,0,0,12,130,14,0.9,7,2,1,1,0,12,2,3,8,0.857,9,1,0,0,1,20,1,9,14
13,1,1,1,100,4,4,100,1,0,1,20,124,125,460,0.5,5,14,17,85,87,0.977,0,0,0,15,91,20,0.82,1,1,2,7,0,8,3,2,12,0.727,14,1,0,0,0,19,0,2,9
0,5,5,5,100,1,3,33.33333333,0.75,0,0,16,96,78,348,0.71,12,13,12,37,40,0.925,0,0,0,13,116,16,0.88,6,2,2,7,0,12,0,0,17,1,14,2,0,0,1,38,1,8,12
13,2,1,2,50,0,0,0,0.5,0,0,15,121,116,372,0.29,6,16,13,84,86,0.977,0,0,0,14,61,13,0.82,7,2,2,6,0,17,0,0,12,1,12,2,0,0,0,12,0,9,14
2,3,3,3,100,3,4,75,0.86,0,1,23,122,122,447,0.6,9,22,20,74,78,0.949,0,0,0,18,100,26,0.79,6,2,2,7,0,8,0,2,11,1,9,0,0,0,1,30,1,8,8
11,2,1,2,50,3,5,60,0.57,0,2,22,158,126,630,0.4,18,26,23,69,75,0.92,0,0,0,19,126,22,0.85,7,2,2,6,0,11,2,0,8,0.846,8,0,0,0,0,21,0,9,9
4,0,0,0,0,2,3,66.66666667,0.67,0,0,11,100,88,331,0,6,20,11,59,66,0.894,0,0,0,19,69,15,0.82,4,2,1,7,0,16,3,1,7,0.842,13,2,0,0,1,6,0,6,17
8,0,0,0,0,6,8,75,0.75,1,0,23,95,65,187,0,1,15,6,50,50,1,0,0,0,11,105,20,0.84,7,1,2,4,0,7,1,3,16,0.875,17,2,0,0,0,21,1,8,13
10,1,0,1,0,5,5,100,0.83,0,1,28,85,88,276,0.33,4,16,9,64,66,0.97,0,0,0,14,111,22,0.83,8,1,2,5,0,14,3,3,11,0.824,9,1,0,0,1,20,1,9,15
9,2,2,2,100,1,3,33.33333333,0.6,0,0,17,147,96,539,0.67,10,22,7,62,68,0.912,0,0,0,16,96,16,0.86,5,2,1,8,0,11,3,3,14,0.786,15,1,0,0,0,17,0,7,9
7,2,2,2,100,3,5,60,0.71,0,0,16,113,115,438,0.4,15,14,19,58,60,0.967,0,0,0,19,78,13,0.86,7,0,2,8,0,9,4,1,12,0.692,9,0,0,0,1,23,1,7,11
3,3,1,3,33.33333333,1,2,50,0.4,0,1,24,110,98,300,0.6,4,13,5,59,60,0.983,0,0,0,10,92,14,0.87,8,2,0,7,0,12,1,4,9,0.923,11,1,0,0,0,20,0,10,9
1,9,6,9,66.66666667,1,1,100,0.7,0,0,15,201,163,767,0.75,15,40,28,84,87,0.966,0,0,0,16,94,17,0.85,5,1,3,6,0,8,4,0,12,0.667,6,0,0,0,1,60,1,6,13
5,3,2,3,66.66666667,0,1,0,0.5,0,0,20,81,75,265,0.25,4,17,5,59,61,0.967,0,0,0,14,146,40,0.78,6,3,1,5,0,12,0,4,8,1,13,2,0,0,0,19,0,9,6
12,4,3,4,75,3,5,60,0.67,0,1,26,90,95,408,1,10,20,20,57,57,1,0,0,0,8,112,14,0.89,7,1,1,6,0,11,1,1,11,0.917,10,0,1,0,1,35,1,8,13
6,0,0,0,0,2,4,50,0.5,0,0,19,122,116,353,0,4,14,11,85,89,0.955,0,0,0,10,78,20,0.8,6,1,1,7,0,11,1,1,11,0.917,13,2,0,0,0,6,0,7,10
6,3,3,3,100,3,4,75,0.86,0,0,17,192,164,547,1,8,18,27,11,1,1,0,0,0,18,66,2,0.97,6,0,2,12,0,12,1,7,5,0.923,10,1,0,0,1,30,1,6,14
0,0,0,0,0,2,2,100,1,0,0,18,72,69,216,0,2,2,10,51,53,0.962,0,0,0,10,146,18,0.89,12,2,0,6,0,5,7,1,12,0.417,14,1,0,0,0,6,0,14,10
8,1,0,1,0,5,6,83.33333333,0.71,0,0,22,114,107,408,1,2,15,6,67,71,0.944,0,0,0,15,59,5,0.92,6,2,0,4,0,14,1,3,14,0.933,12,1,0,0,1,20,0,8,11
10,0,0,0,0,5,7,71.42857143,0.71,2,1,30,46,54,182,0,5,5,3,37,41,0.902,0,0,0,14,112,15,0.88,4,0,2,6,0,14,3,1,14,0.824,11,1,0,0,0,21,1,4,12
9,5,3,5,60,2,2,100,0.71,0,0,21,113,80,436,0.71,15,20,12,42,44,0.955,0,0,0,16,97,22,0.82,8,1,1,11,0,10,2,0,15,0.833,12,0,0,0,1,37,1,9,5
2,2,2,2,100,3,3,100,1,0,0,21,139,114,299,0.29,5,22,17,69,73,0.945,0,0,0,20,60,20,0.75,11,1,1,8,0,15,0,2,10,1,5,0,0,0,0,23,0,12,12
5,3,2,3,66.66666667,6,8,75,0.73,0,0,25,127,114,387,0.5,10,15,14,71,71,1,0,0,0,13,98,13,0.88,5,2,4,2,0,11,1,1,15,0.917,7,0,0,0,1,37,1,7,12
12,3,2,3,66.66666667,2,2,100,0.8,0,0,22,101,92,316,0.5,3,13,13,55,56,0.982,0,0,0,15,132,15,0.9,2,4,2,5,0,15,1,1,11,0.938,12,1,0,0,0,25,0,6,7
3,2,1,2,50,4,4,100,0.83,0,1,20,117,104,428,1,2,22,14,68,69,0.986,0,0,0,8,96,19,0.83,9,1,0,6,0,15,3,5,9,0.833,10,2,0,0,1,24,1,10,21
4,0,0,0,0,2,4,50,0.5,0,0,11,103,99,329,0,4,19,12,74,76,0.974,0,0,0,18,91,22,0.81,6,0,1,9,0,9,5,3,15,0.643,21,4,0,0,0,6,0,6,10
13,4,2,4,50,3,4,75,0.62,0,0,24,100,99,383,1,5,17,18,59,61,0.967,0,0,0,15,58,11,0.84,8,1,7,6,0,5,4,1,11,0.556,6,1,0,0,1,33,1,9,8
7,0,0,0,0,2,2,100,1,0,0,17,82,66,240,0,4,11,8,34,39,0.872,0,0,0,16,86,17,0.83,6,7,1,8,0,11,1,4,5,0.917,8,1,0,0,0,6,0,13,6
11,2,2,2,100,1,4,25,0.5,0,1,14,113,96,428,0.67,5,23,9,72,72,1,0,0,0,13,105,13,0.89,9,2,1,7,0,10,2,1,9,0.833,7,0,0,0,1,17,1,11,12
1,1,1,1,100,1,2,50,0.67,0,0,13,141,114,431,0.33,6,13,18,69,75,0.92,0,0,0,20,108,23,0.82,7,1,2,9,0,9,1,2,10,0.9,12,1,0,0,0,10,0,8,7
4,2,2,2,100,4,6,66.66666667,0.75,0,1,21,74,67,363,0.67,3,17,9,41,45,0.911,0,0,0,16,86,17,0.83,6,1,1,9,0,11,2,2,9,0.846,9,0,0,0,1,26,1,7,11
12,1,1,1,100,4,4,100,1,0,0,13,161,116,670,0.33,5,17,20,66,71,0.93,0,0,0,18,54,17,0.76,9,1,1,6,0,9,2,2,11,0.818,11,1,0,0,0,19,0,10,9
8,4,3,4,75,2,3,66.66666667,0.71,0,0,18,172,107,781,1,12,26,17,68,70,0.971,0,0,0,10,96,15,0.86,6,0,0,11,0,8,3,1,12,0.727,8,0,0,0,1,32,1,6,8
11,0,0,0,0,1,3,33.33333333,0.33,1,0,21,119,93,321,0,3,15,7,65,69,0.942,0,0,0,12,95,26,0.79,11,0,0,6,0,12,1,3,8,0.923,8,0,0,0,0,6,0,11,8
9,3,3,3,100,3,3,100,1,0,0,22,131,90,401,1,5,14,18,65,68,0.956,0,0,0,9,109,15,0.88,8,1,1,3,0,9,1,4,12,0.9,14,0,0,0,1,30,1,9,7
5,0,0,0,0,4,5,80,0.8,0,0,17,117,103,483,0,3,15,12,68,72,0.944,0,0,0,14,86,14,0.86,3,1,1,8,0,12,4,1,9,0.75,7,0,0,0,0,12,0,4,14
3,2,2,2,100,4,4,100,1,0,1,27,139,120,428,0.5,7,17,10,79,83,0.952,0,0,0,18,90,15,0.86,2,1,1,7,0,13,1,4,8,0.929,8,1,0,0,1,26,1,3,10
13,2,2,2,100,3,3,100,1,0,0,26,85,110,397,0.5,10,15,13,64,67,0.955,0,0,0,14,114,17,0.87,7,1,1,2,0,8,4,1,13,0.667,10,2,0,0,0,23,0,8,8
10,6,5,6,83.33333333,1,2,50,0.75,0,0,16,92,77,521,0.86,11,12,8,44,50,0.88,0,0,0,14,72,7,0.91,9,1,1,5,0,12,1,2,12,0.923,8,0,0,0,1,43,1,10,16
6,1,1,1,100,1,1,100,1,0,0,20,65,63,133,0.14,1,7,8,50,52,0.962,0,0,0,11,71,12,0.86,5,1,1,9,0,12,2,1,12,0.857,16,1,1,0,0,10,0,6,8
7,5,3,5,60,1,2,50,0.57,0,0,15,148,130,693,0.71,13,27,20,83,86,0.965,0,0,0,15,53,7,0.88,1,2,0,10,0,7,2,7,9,0.778,17,1,0,0,1,34,1,3,7
0,2,2,2,100,5,9,55.55555556,0.64,0,0,19,58,56,253,0.29,1,7,3,35,40,0.875,0,0,0,10,126,27,0.82,10,0,2,1,0,9,7,2,7,0.562,7,2,0,0,0,29,0,10,17
1,0,0,0,0,6,9,66.66666667,0.67,0,0,15,141,124,502,0,1,13,10,83,87,0.954,0,0,0,20,52,11,0.83,7,1,4,5,0,13,2,2,8,0.867,5,0,0,0,1,18,1,8,21
2,1,1,1,100,2,2,100,1,0,1,24,64,54,154,1,4,11,6,34,38,0.895,0,0,0,11,121,13,0.9,5,4,1,7,0,8,2,2,13,0.8,21,2,0,0,0,13,0,9,5
1,2,1,2,50,4,10,40,0.42,0,0,21,148,130,542,0.5,12,24,14,81,83,0.976,0,0,0,11,73,13,0.85,3,2,1,5,0,8,2,4,6,0.8,11,0,0,0,1,24,0,5,14
7,2,0,2,0,5,7,71.42857143,0.56,1,1,19,94,90,410,0.5,5,13,13,47,50,0.94,0,0,0,10,99,24,0.8,5,1,2,3,0,6,4,2,8,0.6,14,2,0,0,0,28,1,6,11
12,0,0,0,0,3,4,75,0.75,0,0,22,142,130,405,0,10,29,18,86,87,0.989,0,0,0,14,108,18,0.86,10,1,0,3,0,8,5,2,11,0.615,8,0,0,0,1,9,0,11,9
8,1,1,1,100,2,3,66.66666667,0.75,0,2,20,133,106,330,1,5,18,17,72,74,0.973,0,0,0,17,138,29,0.83,3,0,1,10,0,11,2,5,8,0.846,9,0,0,0,0,13,1,3,8
0,2,2,2,100,3,3,100,1,0,0,20,116,89,299,1,3,20,12,52,56,0.929,0,0,0,18,113,10,0.92,7,0,1,9,0,11,3,7,10,0.786,9,0,0,0,1,23,1,7,11
4,0,0,0,0,2,4,50,0.5,0,0,21,124,108,261,0,4,10,14,79,81,0.975,0,0,0,11,87,20,0.81,9,1,0,7,0,10,7,3,11,0.588,11,4,0,0,0,6,0,10,9
2,2,1,2,50,5,7,71.42857143,0.67,0,1,26,97,90,380,0.5,8,14,13,52,56,0.929,0,0,0,13,82,21,0.8,10,1,3,3,0,4,0,6,9,1,12,1,0,0,1,27,1,11,7
10,2,1,2,50,3,5,60,0.57,0,1,15,104,95,469,0.5,8,21,10,55,58,0.948,0,0,0,15,80,14,0.85,3,3,1,10,0,9,6,0,4,0.6,7,1,0,0,0,21,0,6,12
