Clock,TimeLeft,PhaseID,PhaseTime,PhaseName,RucksNo,PosGainline,NegGainline,Linebreak,LineBreakPrevPhase,rdNear,rdRuck,rdFar,rdMiddle,rsSlow,rsMedium,rsFast,KickTotal,KickedInfield,KickedtoTouch,turnoverTot,turnoverKick,turnoverContact,fromTurnover,penFK,penContact,Tries,TryTotal,PenTotal,TotDraPoss,TotOppPoss,TotDraLineB,TotAwayLineBreaks,DragScore,AwayScore
0.318806392,80,7,0.222313329,BALL IN PLAY,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
0.693701915,80,17,0.149884237,BALL IN PLAY,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.222313329,0,0,0,0,0
1.763342741,80,31,0.234685443,BALL IN PLAY,2,0,0,0,,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.222313329,0.222313329,0,0,0,0
2.648400153,80,45,0.236686326,BALL IN PLAY,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.456998772,0.222313329,0,0,0,0
3.626137856,80,54,0.704344556,BALL IN PLAY,5,0,0,0,,2,1,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.693685098,0.222313329,0,0,0,0
4.18714666,80,79,0.278018591,BALL IN PLAY,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,0.693685098,0.458999655,0,0,0,0
4.931730881,80,96,0.468683521,BALL IN PLAY,2,0,0,0,,1,0,1,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,0.832077523,0.59739208,0,0,0,0
5.840601061,80,113,0.718151144,BALL IN PLAY,4,0,0,2,RD - Far,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0.832077523,0.735784505,0,0,0,0
7.089331137,80,146,0.876544027,BALL IN PLAY,3,0,0,0,,2,0,1,0,0,0,0,2,2,0,1,0,0,0,0,0,0,0,0,0.832077523,0.874176929,0,2,0,5
8.037122268,80,182,0.34661469,BALL IN PLAY,1,0,0,0,,0,0,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1.218768252,1.012569354,0,2,0,5
8.51555804,80,198,0.268572041,BALL IN PLAY,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1.414325766,1.399260083,0,2,0,5
9.424184933,80,208,0.538938046,BALL IN PLAY,1,0,0,0,,0,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,1.414325766,1.594817597,0,2,0,8
10.36390658,80,227,0.725890413,BALL IN PLAY,5,0,0,0,,1,0,1,3,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1.735530901,1.790375111,0,2,0,8
11.86747923,80,257,1.173184252,BALL IN PLAY,8,0,0,0,,3,1,1,3,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.909174817,2.111580246,0,2,0,8
12.50131586,80,317,0.375207049,BALL IN PLAY,1,0,0,0,,0,0,0,1,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,3.082359069,2.111580246,0,2,0,8
13.6245843,80,327,0.691887003,BALL IN PLAY,3,0,0,0,,2,0,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,3.082359069,3.284764499,0,2,0,8
14.74767097,80,357,0.675067164,BALL IN PLAY,3,0,0,1,RD - RUCK,1,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,3.774246072,3.284764499,0,2,0,8
15.47146892,80,393,0.331878197,BALL IN PLAY,1,0,0,0,,1,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,4.449313236,3.284764499,1,2,5,8
16.4287776,80,407,0.952131563,BALL IN PLAY,3,0,0,1,RD - Far,1,1,1,0,0,0,0,2,2,0,2,0,0,1,0,0,0,0,0,4.781191434,3.284764499,1,2,5,8
17.45316791,80,448,0.729867907,BALL IN PLAY,4,0,0,0,,3,0,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,5.237706518,4.073157781,1,3,5,8
18.09927939,80,486,0.640943886,BALL IN PLAY,4,0,0,0,,3,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,6.573396379,4.073157781,1,3,5,8
18.75207853,80,514,0.201480084,BALL IN PLAY,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.573396379,4.073157781,1,3,8,8
19.74017263,80,522,0.755132035,BALL IN PLAY,1,0,0,0,,1,0,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,6.774876463,4.073157781,1,3,8,8
20.61164314,80,535,0.570958634,BALL IN PLAY,4,0,0,0,,0,3,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.774876463,4.274637864,1,3,8,8
21.75606474,80,559,0.809667584,BALL IN PLAY,2,0,0,0,,1,0,0,1,0,0,0,5,5,0,0,0,0,0,0,0,0,0,0,7.345835097,4.274637864,1,3,8,8
22.05115773,80,589,0.193562682,BALL IN PLAY,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.64833066,5.066268692,1,3,8,8
22.98439311,80,596,0.684940338,BALL IN PLAY,4,0,0,0,,2,1,0,1,0,0,0,1,1,0,0,0,0,0,1,1,0,0,0,7.841893342,5.066268692,1,3,8,8
25.04014342,80,622,1.484890602,BALL IN PLAY,5,0,0,0,,3,1,0,1,0,0,0,6,5,0,1,0,0,1,0,0,0,0,0,8.167377499,5.259831374,1,3,8,8
25.81717283,80,676,0.514934445,BALL IN PLAY,3,0,0,1,RD - Near,1,0,0,2,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,8.98507127,6.077525145,2,3,8,8
27.16620135,80,699,0.995392863,BALL IN PLAY,3,0,0,0,,2,1,0,0,0,0,0,4,4,0,1,0,1,1,0,0,0,0,0,9.500005715,6.077525145,2,3,8,8
27.8438084,80,739,0.576872126,BALL IN PLAY,1,0,0,0,,0,1,0,0,0,0,0,2,2,0,0,0,0,0,0,1,0,0,0,9.85919267,6.951646545,2,3,8,8
29.23567938,80,763,1.203244932,BALL IN PLAY,5,0,0,0,,4,0,1,0,0,0,0,4,3,0,1,1,0,0,0,0,0,0,0,10.01665194,7.284299226,2,3,8,8
29.8915275,80,807,0.410551279,BALL IN PLAY,2,0,0,0,,1,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.46633177,7.503230047,2,3,8,8
30.64988433,80,826,0.322607109,BALL IN PLAY,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.46633177,7.733979058,2,3,8,8
31.62983219,80,834,0.435613037,BALL IN PLAY,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,10.78893888,7.733979058,2,3,8,8
33.36477452,70,847,0.628144988,BALL IN PLAY,4,0,0,0,,3,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,11.22455192,7.733979058,2,3,8,8
33.97859245,70,872,0.326961991,BALL IN PLAY,1,0,0,0,,1,0,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,11.30431857,8.169592095,2,3,8,8
36.32858599,70,901,0.45925169,BALL IN PLAY,1,0,0,0,,0,1,0,0,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,11.40285702,8.347897192,2,3,8,11
37.70739857,70,917,1.112921057,BALL IN PLAY,7,0,0,0,,5,0,0,2,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,11.63598122,8.44643564,2,3,8,11
38.78056033,70,958,0.513745367,BALL IN PLAY,1,0,0,0,,1,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,1,0,0,11.63598122,8.679559844,2,3,8,11
39.94255467,70,971,0.528187827,BALL IN PLAY,2,0,0,0,,0,2,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,11.63598122,8.912684048,2,3,8,16
42.72399392,70,991,1.696090261,BALL IN PLAY,9,0,0,0,,3,0,3,3,0,0,0,2,1,0,0,0,0,0,0,0,0,0,0,11.63598122,9.145808252,2,3,8,16
43.86278759,60,1040,0.693373044,BALL IN PLAY,2,0,0,0,,0,1,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,11.75984098,9.269668007,2,3,8,16
44.56246955,60,1061,0.438153199,BALL IN PLAY,2,0,0,0,,1,1,0,0,0,0,0,2,2,0,0,0,0,0,0,0,0,0,0,11.94384624,9.453673269,2,3,8,16
45.62138862,60,1085,0.942024206,BALL IN PLAY,1,0,0,0,,1,0,0,0,0,0,0,2,2,0,3,0,1,2,0,0,0,0,0,12.10331033,9.613137363,2,3,8,16
47.26019869,60,1134,0.310617899,BALL IN PLAY,1,0,0,0,,0,1,0,0,0,0,0,0,0,0,1,0,1,0,1,1,0,0,0,12.53855632,9.789396112,2,3,8,16
48.23147526,60,1146,0.507487381,BALL IN PLAY,2,0,0,0,,0,2,0,0,0,0,0,1,1,0,1,0,1,0,1,1,0,0,0,12.53855632,10.04838335,2,3,8,16
49.3317467,60,1167,0.562131983,BALL IN PLAY,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,12.76295326,10.27278029,2,3,8,16
50.09698575,60,1179,0.464816565,BALL IN PLAY,2,0,0,0,,0,1,0,1,0,0,0,1,1,0,1,0,1,0,0,1,0,0,0,13.32508525,10.27278029,2,3,8,16
50.7059396,60,1203,0.188201829,BALL IN PLAY,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13.672823,10.83491228,2,3,8,16
51.00123438,60,1215,0.285098423,BALL IN PLAY,0,0,0,1,From Lineout Quick,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13.672823,11.18265003,2,4,8,16
52.10565368,60,1225,0.502815953,BALL IN PLAY,3,0,0,0,,2,0,0,1,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,13.95792142,11.18265003,2,4,8,16
53.04101176,60,1255,0.25564842,BALL IN PLAY,1,0,0,0,,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,14.37154102,11.46774845,2,4,8,16
53.88812329,50,1267,0.555288999,BALL IN PLAY,3,0,0,0,,1,1,0,1,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,14.37154102,11.88136805,2,4,8,16
