Clock,TimeLeft,PhaseID,PhaseTime,PhaseName,RucksNo,PosGainline,NegGainline,Linebreak,LineBreakPrevPhase,rdNear,rdRuck,rdFar,rdMiddle,rsSlow,rsMedium,rsFast,KickTotal,KickedInfield,KickedtoTouch,turnoverTot,turnoverKick,turnoverContact,fromTurnover,penFK,penContact,Tries,TryTotal,PenTotal,TotDraPoss,TotOppPoss,TotDraLineB,TotAwayLineBreaks,DragScore,AwayScore
0.31415225,80,5,0.255646663,.:P1,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.763342741,80,25,0.265338648,.:P1,1,1,0,0,,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0.222313329,0.222313329,0,0,0,0
2.648400153,80,44,0.270019659,.:P1,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0.456998772,0.222313329,0,0,0,0
4.076137856,80,78,0.171725758,.:P1,1,0,0,0,,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0.693685098,0.458999655,0,0,0,0
7.089331137,80,164,0.221119518,.:P1,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0.832077523,1.012569354,0,2,0,5
8.037122268,80,188,0.228890847,.:P1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.218768252,1.399260083,0,2,0,5
9.424184933,80,216,0.354538469,.:P1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1.414325766,1.790375111,0,2,0,8
10.36390658,80,244,0.221300842,.:P1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1.735530901,2.111580246,0,2,0,8
11.86747923,80,256,0.197150617,.:P1,1,0,1,0,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1.909174817,2.111580246,0,2,0,8
13.6245843,80,326,0.248610948,.:P1,0,0,0,0,,0,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,3.082359069,3.284764499,0,2,0,8
14.74767097,80,356,0.15080563,.:P1,0,0,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,3.774246072,3.284764499,0,2,0,8
15.47146892,80,392,0.329131407,.:P1,0,0,0,0,,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,4.449313236,3.284764499,1,2,5,8
16.4287776,80,422,0.244914331,.:P1,0,1,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,4.781191434,3.616642696,1,3,5,8
17.42241837,80,447,0.363938351,.:P1,1,0,0,0,,1,0,0,0,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,5.237706518,4.073157781,1,3,5,8
17.621978,80,481,0.129387154,.:P1,0,1,0,0,,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,5.878401235,4.073157781,1,3,5,8
18.75207853,80,513,0.234813417,.:P1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,6.573396379,4.073157781,1,3,8,8
20.61164314,80,534,0.182845415,.:P1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,6.774876463,4.274637864,1,3,8,8
21.75606474,80,563,0.153341357,.:P1,0,0,0,0,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7.345835097,4.845596499,1,3,8,8
21.75606474,80,574,0.133997503,.:P1,0,0,0,0,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,7.46584312,4.965604522,1,3,8,8
21.75606474,80,583,0.115156703,.:P1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.56650729,5.066268692,1,3,8,8
22.05115773,80,588,0.226896015,.:P1,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,7.64833066,5.066268692,1,3,8,8
22.98439311,80,612,0.35881749,.:P1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,7.841893342,5.259831374,1,3,8,8
23.77909343,80,621,0.241855849,.:P1,1,0,0,0,,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8.167377499,5.259831374,1,3,8,8
25.04014342,80,640,0.26948846,.:P1,0,0,0,0,,0,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,8.375900014,5.468353889,1,3,8,8
25.04014342,80,661,0.250390173,.:P1,0,0,0,0,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,8.768014429,5.860468304,1,3,8,8
25.81717283,80,674,0.185426604,.:P1,1,0,0,0,,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,8.98507127,6.077525145,1,3,8,8
27.16620135,80,707,0.283483581,.:P1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,9.500005715,6.592459589,2,3,8,8
27.16620135,80,722,0.208526742,.:P1,0,0,0,0,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9.683999262,6.776453137,2,3,8,8
27.8438084,80,747,0.190792606,.:P1,0,0,0,0,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,9.85919267,7.126839953,2,3,8,8
28.21690798,80,762,0.167197548,.:P1,0,0,0,0,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10.01665194,7.284299226,2,3,8,8
29.23567938,80,789,0.11839994,.:P1,0,0,0,0,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,10.15051616,7.418163441,2,3,8,8
29.23567938,80,799,0.264082344,.:P1,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,1,1,0,0,0,0,0,0,0,10.23558276,7.503230047,2,3,8,8
30.64988433,80,825,0.355940443,.:P1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,10.46633177,7.733979058,2,3,8,8
31.62983219,80,833,0.46894637,.:P1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,10.78893888,7.733979058,2,3,8,8
33.36477452,70,866,0.113099982,.:P1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,11.22455192,8.169592095,2,3,8,8
33.97859245,70,877,0.131871781,.:P1,0,0,0,0,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,11.30431857,8.249358744,2,3,8,8
36.32858599,70,908,0.266457537,.:P1,0,0,0,0,,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,11.40285702,8.44643564,2,3,8,11
41.19414171,70,990,0.157193089,.:P1,0,0,0,0,,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,11.63598122,9.145808252,2,3,8,16
43.38385449,60,1038,0.217338595,.:P1,1,0,0,0,,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,11.75984098,9.269668007,2,3,8,16
44.33883929,60,1060,0.192797427,.:P1,1,0,0,0,,0,1,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,11.94384624,9.453673269,2,3,8,16
44.87666718,60,1081,0.154396386,.:P1,0,1,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,12.10331033,9.613137363,2,3,8,16
45.62138862,60,1104,0.155861068,.:P1,0,0,0,0,,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,0,0,12.15704135,9.666868378,2,3,8,16
45.66707321,60,1112,0.338005165,.:P1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,12.27956908,9.789396112,2,3,8,16
47.99979084,60,1143,0.272070982,.:P1,1,0,0,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12.53855632,10.04838335,2,3,8,16
49.3317467,60,1166,0.595465317,.:P1,0,0,0,0,,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,12.76295326,10.27278029,2,3,8,16
50.09698575,60,1184,0.165702249,.:P1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13.32508525,10.83491228,2,3,8,16
51.00123438,60,1213,0.318431756,.:P1,0,0,0,1,From Lineout Quick,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,13.672823,11.18265003,2,4,8,16
52.10565368,60,1230,0.198949842,.:P1,0,0,0,0,,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,13.95792142,11.46774845,2,4,8,16
53.88812329,50,1264,0.176194444,.:P1,1,0,1,0,,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14.37154102,11.88136805,2,4,8,16
